surah_number,ayah_number,arabic_uthmani,blank,english_saheeh_international
2,84,وَإِذ أَخَذنا ميثاقَكُم لا تَسفِكونَ دِماءَكُم وَلا تُخرِجونَ أَنفُسَكُم مِن دِيارِكُم ثُمَّ أَقرَرتُم وَأَنتُم تَشهَدونَ,w-ʾidh ʾakhadhnā mīthāqakum lā tasfikūn dimāʾakum w-lā tukhrijūn ʾanfusakum m diyārikum thumm ʾaqrartum w-ʾantum tashhadūn,"And recall when We took your covenant, saying, ""Do not shed each other's blood or evict one another from your homes."" Then you acknowledged this while you were witnessing"
2,85,ثُمَّ أَنتُم هٰؤُلاءِ تَقتُلونَ أَنفُسَكُم وَتُخرِجونَ فَريقًا مِنكُم مِن دِيارِهِم تَظاهَرونَ عَلَيهِم بِالإِثمِ وَالعُدوانِ وَإِن يَأتوكُم أُسارىٰ تُفادوهُم وَهُوَ مُحَرَّمٌ عَلَيكُم إِخراجُهُم ۚ أَفَتُؤمِنونَ بِبَعضِ الكِتابِ وَتَكفُرونَ بِبَعضٍ ۚ فَما جَزاءُ مَن يَفعَلُ ذٰلِكَ مِنكُم إِلّا خِزيٌ فِي الحَياةِ الدُّنيا ۖ وَيَومَ القِيامَةِ يُرَدّونَ إِلىٰ أَشَدِّ العَذابِ ۗ وَمَا اللَّهُ بِغافِلٍ عَمّا تَعمَلونَ,thumm ʾantum hāʾulāʾ taqtulūn ʾanfusakum w-tukhrijūn farīqam-minkum m diyārihim taẓāharūn ʿalayhim b-l-ʾithm w-l-ʿudwān w-ʾ yaʾtūkum ʾusārā tufādūhum w-huw muḥarram ʿalaykum ʾikhrājuhum ʾ-f-tuʾminūn b-baʿḍil-kitāb w-takfurūn b-baʿḍ f-mā jazāʾ m yafʿal dhālik minkum ʾillā khizy fīl-ḥayāt d-dunyā w-yawmal-qiyāmat yuraddūn ʾilā ʾashaddil-ʿadhāb w-mā llāh b-ghāfil ʿammā taʿmalūn,"Then, you are those same ones who are killing one another and evicting a party of your people from their homes, cooperating against them in sin and aggression. And if they come to you as captives, you ransom them, although their eviction was forbidden to you. So do you believe in part of the Scripture and disbelieve in part? Then what is the recompense for those who do that among you except disgrace in worldly life; and on the Day of Resurrection they will be sent back to the severest of punishment. And Allah is not unaware of what you do"
2,86,أُولٰئِكَ الَّذينَ اشتَرَوُا الحَياةَ الدُّنيا بِالآخِرَةِ ۖ فَلا يُخَفَّفُ عَنهُمُ العَذابُ وَلا هُم يُنصَرونَ,ʾulāʾikalladhīn shtarawul-ḥayāt d-dunyā b-l-ʾākhirat f-lā yukhaffaf ʿanhumul-ʿadhāb w-lā hum yunṣarūn,"Those are the ones who have bought the life of this world in exchange for the Hereafter, so the punishment will not be lightened for them, nor will they be aided"
2,87,وَلَقَد آتَينا موسَى الكِتابَ وَقَفَّينا مِن بَعدِهِ بِالرُّسُلِ ۖ وَآتَينا عيسَى ابنَ مَريَمَ البَيِّناتِ وَأَيَّدناهُ بِروحِ القُدُسِ ۗ أَفَكُلَّما جاءَكُم رَسولٌ بِما لا تَهوىٰ أَنفُسُكُمُ استَكبَرتُم فَفَريقًا كَذَّبتُم وَفَريقًا تَقتُلونَ,w-l-qad ʾātaynā mūsāl-kitāb w-qaffaynā m baʿdihī b-r-rusul w-ʾātaynā ʿīsā bn maryamal-bayyināt w-ʾayyadnāh b-rūḥil-qudus ʾ-f-kullamā jāʾakum rasūl b-mā lā tahwā ʾanfusukum stakbartum f-farīq kadhdhabtum w-farīq taqtulūn,"And We did certainly give Moses the Torah and followed up after him with messengers. And We gave Jesus, the son of Mary, clear proofs and supported him with the Pure Spirit. But is it not that every time a messenger came to you, O Children of Israel, with what your souls did not desire, you were arrogant? And a party of messengers you denied and another party you killed"
2,88,وَقالوا قُلوبُنا غُلفٌ ۚ بَل لَعَنَهُمُ اللَّهُ بِكُفرِهِم فَقَليلًا ما يُؤمِنونَ,w-qālū qulūbunā ghulf bal laʿanahum llāh b-kufrihim f-qalīlam-mā yuʾminūn,"And they said, ""Our hearts are wrapped."" But, in fact, Allah has cursed them for their disbelief, so little is it that they believe"
2,89,وَلَمّا جاءَهُم كِتابٌ مِن عِندِ اللَّهِ مُصَدِّقٌ لِما مَعَهُم وَكانوا مِن قَبلُ يَستَفتِحونَ عَلَى الَّذينَ كَفَروا فَلَمّا جاءَهُم ما عَرَفوا كَفَروا بِهِ ۚ فَلَعنَةُ اللَّهِ عَلَى الكافِرينَ,w-lammā jāʾahum kitāb m ʿind llāh muṣaddiq l-mā maʿahum w-kānū m qabl yastaftiḥūn ʿalālladhīn kafarū f-lammā jāʾahum mā ʿarafū kafarū bihī f-laʿnat llāh ʿalāl-kāfirīn,"And when there came to them a Book from Allah confirming that which was with them - although before they used to pray for victory against those who disbelieved - but then when there came to them that which they recognized, they disbelieved in it; so the curse of Allah will be upon the disbelievers"
2,90,بِئسَمَا اشتَرَوا بِهِ أَنفُسَهُم أَن يَكفُروا بِما أَنزَلَ اللَّهُ بَغيًا أَن يُنَزِّلَ اللَّهُ مِن فَضلِهِ عَلىٰ مَن يَشاءُ مِن عِبادِهِ ۖ فَباءوا بِغَضَبٍ عَلىٰ غَضَبٍ ۚ وَلِلكافِرينَ عَذابٌ مُهينٌ,biʾsamā shtaraw bihī ʾanfusahum ʾ yakfurū b-mā ʾanzal llāh baghy ʾ yunazzil llāh m faḍlihī ʿalā m yashāʾ m ʿibādihī f-bāʾū b-ghaḍab ʿalā ghaḍab w-l-l-kāfirīn ʿadhāb muhīn,How wretched is that for which they sold themselves - that they would disbelieve in what Allah has revealed through their outrage that Allah would send down His favor upon whom He wills from among His servants. So they returned having earned wrath upon wrath. And for the disbelievers is a humiliating punishment
2,91,وَإِذا قيلَ لَهُم آمِنوا بِما أَنزَلَ اللَّهُ قالوا نُؤمِنُ بِما أُنزِلَ عَلَينا وَيَكفُرونَ بِما وَراءَهُ وَهُوَ الحَقُّ مُصَدِّقًا لِما مَعَهُم ۗ قُل فَلِمَ تَقتُلونَ أَنبِياءَ اللَّهِ مِن قَبلُ إِن كُنتُم مُؤمِنينَ,w-ʾidhā qīl lahum ʾāminū b-mā ʾanzal llāh qālū nuʾmin b-mā ʾunzil ʿalaynā w-yakfurūn b-mā warāʾahū w-huwal-ḥaqq muṣaddiq l-mā maʿahum qul f-l-m taqtulūn ʾanbiyāʾ llāh m qabl ʾ kuntum muʾminīn,"And when it is said to them, ""Believe in what Allah has revealed,"" they say, ""We believe only in what was revealed to us."" And they disbelieve in what came after it, while it is the truth confirming that which is with them. Say, ""Then why did you kill the prophets of Allah before, if you are indeed believers"
2,92,۞ وَلَقَد جاءَكُم موسىٰ بِالبَيِّناتِ ثُمَّ اتَّخَذتُمُ العِجلَ مِن بَعدِهِ وَأَنتُم ظالِمونَ,w-l-qad jāʾakum mūsā b-l-bayyināt thumm ttakhadhtumul-ʿijl m baʿdihī w-ʾantum ẓālimūn,"And Moses had certainly brought you clear proofs. Then you took the calf in worship after that, while you were wrongdoers"
2,93,وَإِذ أَخَذنا ميثاقَكُم وَرَفَعنا فَوقَكُمُ الطّورَ خُذوا ما آتَيناكُم بِقُوَّةٍ وَاسمَعوا ۖ قالوا سَمِعنا وَعَصَينا وَأُشرِبوا في قُلوبِهِمُ العِجلَ بِكُفرِهِم ۚ قُل بِئسَما يَأمُرُكُم بِهِ إيمانُكُم إِن كُنتُم مُؤمِنينَ,w-ʾidh ʾakhadhnā mīthāqakum w-rafaʿnā fawqakum ṭ-ṭūr khudhū mā ʾātaynākum b-quwwat w-smaʿū qālū samiʿnā w-ʿaṣaynā w-ʾushribū fī qulūbihimul-ʿijl b-kufrihim qul biʾs-mā yaʾmurukum bihī ʾīmānukum ʾ kuntum muʾminīn,"And recall when We took your covenant and raised over you the mount, saying, ""Take what We have given you with determination and listen."" They said instead, ""We hear and disobey."" And their hearts absorbed the worship of the calf because of their disbelief. Say, ""How wretched is that which your faith enjoins upon you, if you should be believers"
2,94,قُل إِن كانَت لَكُمُ الدّارُ الآخِرَةُ عِندَ اللَّهِ خالِصَةً مِن دونِ النّاسِ فَتَمَنَّوُا المَوتَ إِن كُنتُم صادِقينَ,qul ʾ kānat lakum d-dārul-ʾākhirat ʿind llāh khāliṣatam-m dūn n-nās f-tamannawul-mawt ʾ kuntum ṣādiqīn,"Say, O Muhammad, ""If the home of the Hereafter with Allah is for you alone and not the other people, then wish for death, if you should be truthful"
2,95,وَلَن يَتَمَنَّوهُ أَبَدًا بِما قَدَّمَت أَيديهِم ۗ وَاللَّهُ عَليمٌ بِالظّالِمينَ,w-l yatamannawh ʾabad b-mā qaddamat ʾaydīhim w-llāh ʿalīm b-ẓ-ẓālimīn,"But they will never wish for it, ever, because of what their hands have put forth. And Allah is Knowing of the wrongdoers"
2,96,وَلَتَجِدَنَّهُم أَحرَصَ النّاسِ عَلىٰ حَياةٍ وَمِنَ الَّذينَ أَشرَكوا ۚ يَوَدُّ أَحَدُهُم لَو يُعَمَّرُ أَلفَ سَنَةٍ وَما هُوَ بِمُزَحزِحِهِ مِنَ العَذابِ أَن يُعَمَّرَ ۗ وَاللَّهُ بَصيرٌ بِما يَعمَلونَ,w-l-tajidannahum ʾaḥraṣ n-nās ʿalā ḥayāt w-minalladhīn ʾashrakū yawadd ʾaḥaduhum law yuʿammar ʾalf sanat w-mā huw b-muzaḥziḥihī minal-ʿadhāb ʾ yuʿammar w-llāh baṣīr b-mā yaʿmalūn,"And you will surely find them the most greedy of people for life - even more than those who associate others with Allah. One of them wishes that he could be granted life a thousand years, but it would not remove him in the least from the coming punishment that he should be granted life. And Allah is Seeing of what they do"
2,97,قُل مَن كانَ عَدُوًّا لِجِبريلَ فَإِنَّهُ نَزَّلَهُ عَلىٰ قَلبِكَ بِإِذنِ اللَّهِ مُصَدِّقًا لِما بَينَ يَدَيهِ وَهُدًى وَبُشرىٰ لِلمُؤمِنينَ,qul m kān ʿaduww l-jibrīl f-ʾinnahū nazzalahū ʿalā qalbik b-ʾidhn llāh muṣaddiq l-mā bayn yadayh w-hud w-bushrā l-l-muʾminīn,"Say, ""Whoever is an enemy to Gabriel - it is none but he who has brought the Qur'an down upon your heart, O Muhammad, by permission of Allah, confirming that which was before it and as guidance and good tidings for the believers"
2,98,مَن كانَ عَدُوًّا لِلَّهِ وَمَلائِكَتِهِ وَرُسُلِهِ وَجِبريلَ وَميكالَ فَإِنَّ اللَّهَ عَدُوٌّ لِلكافِرينَ,m kān ʿaduww l-llāh w-malāʾikatihī w-rusulihī w-jibrīl w-mīkāl f-ʾinn llāh ʿaduww l-l-kāfirīn,"Whoever is an enemy to Allah and His angels and His messengers and Gabriel and Michael - then indeed, Allah is an enemy to the disbelievers"
2,99,وَلَقَد أَنزَلنا إِلَيكَ آياتٍ بَيِّناتٍ ۖ وَما يَكفُرُ بِها إِلَّا الفاسِقونَ,w-l-qad ʾanzalnā ʾilayk ʾāyāt bayyināt w-mā yakfur bihā ʾillāl-fāsiqūn,"And We have certainly revealed to you verses which are clear proofs, and no one would deny them except the defiantly disobedient"
2,100,أَوكُلَّما عاهَدوا عَهدًا نَبَذَهُ فَريقٌ مِنهُم ۚ بَل أَكثَرُهُم لا يُؤمِنونَ,ʾ-w-kullamā ʿāhadū ʿahd nabadhahū farīq minhum bal ʾaktharuhum lā yuʾminūn,"Is it not true that every time they took a covenant a party of them threw it away? But, in fact, most of them do not believe"
2,101,وَلَمّا جاءَهُم رَسولٌ مِن عِندِ اللَّهِ مُصَدِّقٌ لِما مَعَهُم نَبَذَ فَريقٌ مِنَ الَّذينَ أوتُوا الكِتابَ كِتابَ اللَّهِ وَراءَ ظُهورِهِم كَأَنَّهُم لا يَعلَمونَ,w-lammā jāʾahum rasūl m ʿind llāh muṣaddiq l-mā maʿahum nabadh farīq minalladhīn ʾūtūl-kitāb kitāb llāh warāʾ ẓuhūrihim k-ʾannahum lā yaʿlamūn,"And when a messenger from Allah came to them confirming that which was with them, a party of those who had been given the Scripture threw the Scripture of Allah behind their backs as if they did not know what it contained"
2,102,وَاتَّبَعوا ما تَتلُو الشَّياطينُ عَلىٰ مُلكِ سُلَيمانَ ۖ وَما كَفَرَ سُلَيمانُ وَلٰكِنَّ الشَّياطينَ كَفَرَوا يُعَلِّمونَ النّاسَ السِّحرَ وَما أُنزِلَ عَلَى المَلَكَينِ بِبابِلاً هاروتَ وَماروتَ ۚ وَما يُعَلِّمانِ مِن أَحَدٍ حَتّىٰ يَقولا إِنَّما نَحنُ فِتنَةٌ فَلا تَكفُر ۖ فَيَتَعَلَّمونَ مِنهُما ما يُفَرِّقونَ بِهِ بَينَ المَرءِ وَزَوجِهِ ۚ وَما هُم بِضارّينَ بِهِ مِن أَحَدٍ إِلّا بِإِذنِ اللَّهِ ۚ وَيَتَعَلَّمونَ ما يَضُرُّهُم وَلا يَنفَعُهُم ۚ وَلَقَد عَلِموا لَمَنِ اشتَراهُ ما لَهُ فِي الآخِرَةِ مِن خَلاقٍ ۚ وَلَبِئسَ ما شَرَوا بِهِ أَنفُسَهُم ۚ لَو كانوا يَعلَمونَ,w-ttabaʿū mā tatlū sh-shayāṭīn ʿalā mulk sulaymān w-mā kafar sulaymān w-lākinn sh-shayāṭīn kafarū yuʿallimūn n-nās s-siḥr w-mā ʾunzil ʿalāl-malakayn b-bābil hārūt w-mārūt w-mā yuʿallimān m ʾaḥad ḥattā yaqūlā ʾinnamā naḥn fitnat f-lā takfur f-yataʿallamūn minhumā mā yufarriqūn bihī baynal-marʾ w-zawjihī w-mā hum b-ḍārrīn bihī m ʾaḥad ʾillā b-ʾidhn llāh w-yataʿallamūn mā yaḍurruhum w-lā yanfaʿuhum w-l-qad ʿalimū l-man shtarāh mā lahū fīl-ʾākhirat m khalāq w-l-biʾs mā sharaw bihī ʾanfusahum law kānū yaʿlamūn,"And they followed instead what the devils had recited during the reign of Solomon. It was not Solomon who disbelieved, but the devils disbelieved, teaching people magic and that which was revealed to the two angels at Babylon, Harut and Marut. But the two angels do not teach anyone unless they say, ""We are a trial, so do not disbelieve by practicing magic."" And yet they learn from them that by which they cause separation between a man and his wife. But they do not harm anyone through it except by permission of Allah. And the people learn what harms them and does not benefit them. But the Children of Israel certainly knew that whoever purchased the magic would not have in the Hereafter any share. And wretched is that for which they sold themselves, if they only knew"
2,103,وَلَو أَنَّهُم آمَنوا وَاتَّقَوا لَمَثوبَةٌ مِن عِندِ اللَّهِ خَيرٌ ۖ لَو كانوا يَعلَمونَ,w-law ʾannahum ʾāmanū w-ttaqaw l-mathūbat m ʿind llāh khayr law kānū yaʿlamūn,"And if they had believed and feared Allah, then the reward from Allah would have been far better, if they only knew"
2,104,يا أَيُّهَا الَّذينَ آمَنوا لا تَقولوا راعِنا وَقولُوا انظُرنا وَاسمَعوا ۗ وَلِلكافِرينَ عَذابٌ أَليمٌ,yā-ʾayyuhālladhīn ʾāmanū lā taqūlū rāʿinā w-qūlū nẓurnā w-smaʿū w-l-l-kāfirīn ʿadhāb ʾalīm,"O you who have believed, say not to Allah 's Messenger, ""Ra'ina"" but say, ""Unthurna"" and listen. And for the disbelievers is a painful punishment"
2,105,ما يَوَدُّ الَّذينَ كَفَروا مِن أَهلِ الكِتابِ وَلَا المُشرِكينَ أَن يُنَزَّلَ عَلَيكُم مِن خَيرٍ مِن رَبِّكُم ۗ وَاللَّهُ يَختَصُّ بِرَحمَتِهِ مَن يَشاءُ ۚ وَاللَّهُ ذُو الفَضلِ العَظيمِ,mā yawaddulladhīn kafarū m ʾahlil-kitāb w-lāl-mushrikīn ʾ yunazzal ʿalaykum m khayr m rabbikum w-llāh yakhtaṣṣ b-raḥmatihī m yashāʾ w-llāh dhūl-faḍlil-ʿaẓīm,"Neither those who disbelieve from the People of the Scripture nor the polytheists wish that any good should be sent down to you from your Lord. But Allah selects for His mercy whom He wills, and Allah is the possessor of great bounty"
2,106,۞ ما نَنسَخ مِن آيَةٍ أَو نُنسِها نَأتِ بِخَيرٍ مِنها أَو مِثلِها ۗ أَلَم تَعلَم أَنَّ اللَّهَ عَلىٰ كُلِّ شَيءٍ قَديرٌ,mā nansakh m ʾāyat ʾaw nunsihā naʾt b-khayr minhā ʾaw mithlihā ʾ-lam taʿlam ʾann llāh ʿalā kull shayʾ qadīr,We do not abrogate a verse or cause it to be forgotten except that We bring forth one better than it or similar to it. Do you not know that Allah is over all things competent
2,107,أَلَم تَعلَم أَنَّ اللَّهَ لَهُ مُلكُ السَّماواتِ وَالأَرضِ ۗ وَما لَكُم مِن دونِ اللَّهِ مِن وَلِيٍّ وَلا نَصيرٍ,ʾ-lam taʿlam ʾann llāh lahū mulk s-samāwāt w-l-ʾارḍ w-mā lakum m dūn llāh m waliyy w-lā naṣīr,Do you not know that to Allah belongs the dominion of the heavens and the earth and that you have not besides Allah any protector or any helper
2,108,أَم تُريدونَ أَن تَسأَلوا رَسولَكُم كَما سُئِلَ موسىٰ مِن قَبلُ ۗ وَمَن يَتَبَدَّلِ الكُفرَ بِالإيمانِ فَقَد ضَلَّ سَواءَ السَّبيلِ,ʾam turīdūn ʾ tasʾalū rasūlakum k-mā suʾil mūsā m qabl w-m yatabaddalil-kufr b-l-ʾīmān f-qad ḍall sawāʾ s-sabīl,Or do you intend to ask your Messenger as Moses was asked before? And whoever exchanges faith for disbelief has certainly strayed from the soundness of the way
2,109,وَدَّ كَثيرٌ مِن أَهلِ الكِتابِ لَو يَرُدّونَكُم مِن بَعدِ إيمانِكُم كُفّارًا حَسَدًا مِن عِندِ أَنفُسِهِم مِن بَعدِ ما تَبَيَّنَ لَهُمُ الحَقُّ ۖ فَاعفوا وَاصفَحوا حَتّىٰ يَأتِيَ اللَّهُ بِأَمرِهِ ۗ إِنَّ اللَّهَ عَلىٰ كُلِّ شَيءٍ قَديرٌ,wadd kathīr m ʾahlil-kitāb law yaruddūnakum m baʿd ʾīmānikum kuffār ḥasadam-m ʿind ʾanfusihim m baʿd mā tabayyan lahumul-ḥaqq f-ʿfū w-ṣfaḥū ḥattā yaʾtiy llāh b-ʾamrihī ʾinn llāh ʿalā kull shayʾ qadīr,"Many of the People of the Scripture wish they could turn you back to disbelief after you have believed, out of envy from themselves even after the truth has become clear to them. So pardon and overlook until Allah delivers His command. Indeed, Allah is over all things competent"
2,110,وَأَقيمُوا الصَّلاةَ وَآتُوا الزَّكاةَ ۚ وَما تُقَدِّموا لِأَنفُسِكُم مِن خَيرٍ تَجِدوهُ عِندَ اللَّهِ ۗ إِنَّ اللَّهَ بِما تَعمَلونَ بَصيرٌ,w-ʾaqīmū ṣ-ṣalāt w-ʾātū z-zakāt w-mā tuqaddimū l-ʾanfusikum m khayr tajidūh ʿind llāh ʾinn llāh b-mā taʿmalūn baṣīr,"And establish prayer and give zakah, and whatever good you put forward for yourselves - you will find it with Allah. Indeed, Allah of what you do, is Seeing"
2,111,وَقالوا لَن يَدخُلَ الجَنَّةَ إِلّا مَن كانَ هودًا أَو نَصارىٰ ۗ تِلكَ أَمانِيُّهُم ۗ قُل هاتوا بُرهانَكُم إِن كُنتُم صادِقينَ,w-qālū l yadkhulal-jannat ʾillā m kān hūd ʾaw naṣārā tilk ʾamāniyyuhum qul hātū burhānakum ʾ kuntum ṣādiqīn,"And they say, ""None will enter Paradise except one who is a Jew or a Christian."" That is merely their wishful thinking, Say, ""Produce your proof, if you should be truthful"
2,112,بَلىٰ مَن أَسلَمَ وَجهَهُ لِلَّهِ وَهُوَ مُحسِنٌ فَلَهُ أَجرُهُ عِندَ رَبِّهِ وَلا خَوفٌ عَلَيهِم وَلا هُم يَحزَنونَ,balā m ʾaslam wajhahū l-llāh w-huw muḥsin f-lahū ʾajruhū ʿind rabbihī w-lā khawf ʿalayhim w-lā hum yaḥzanūn,"Yes on the contrary, whoever submits his face in Islam to Allah while being a doer of good will have his reward with his Lord. And no fear will there be concerning them, nor will they grieve"
2,113,وَقالَتِ اليَهودُ لَيسَتِ النَّصارىٰ عَلىٰ شَيءٍ وَقالَتِ النَّصارىٰ لَيسَتِ اليَهودُ عَلىٰ شَيءٍ وَهُم يَتلونَ الكِتابَ ۗ كَذٰلِكَ قالَ الَّذينَ لا يَعلَمونَ مِثلَ قَولِهِم ۚ فَاللَّهُ يَحكُمُ بَينَهُم يَومَ القِيامَةِ فيما كانوا فيهِ يَختَلِفونَ,w-qālatil-yahūd laysat n-naṣārā ʿalā shayʾ w-qālat n-naṣārā laysatil-yahūd ʿalā shayʾ w-hum yatlūnal-kitāb k-dhālik qālalladhīn lā yaʿlamūn mithl qawlihim f-llāh yaḥkum baynahum yawmal-qiyāmat fī-mā kānū fīh yakhtalifūn,"The Jews say ""The Christians have nothing true to stand on,"" and the Christians say, ""The Jews have nothing to stand on,"" although they both recite the Scripture. Thus the polytheists speak the same as their words. But Allah will judge between them on the Day of Resurrection concerning that over which they used to differ"
2,114,وَمَن أَظلَمُ مِمَّن مَنَعَ مَساجِدَ اللَّهِ أَن يُذكَرَ فيهَا اسمُهُ وَسَعىٰ في خَرابِها ۚ أُولٰئِكَ ما كانَ لَهُم أَن يَدخُلوها إِلّا خائِفينَ ۚ لَهُم فِي الدُّنيا خِزيٌ وَلَهُم فِي الآخِرَةِ عَذابٌ عَظيمٌ,w-m ʾaẓlam mimmam-manaʿ masājid llāh ʾ yudhkar fīhā smuhū w-saʿā fī kharābihā ʾulāʾik mā kān lahum ʾ yadkhulūhā ʾillā khāʾifīn lahum fī d-dunyā khizy w-lahum fīl-ʾākhirat ʿadhāb ʿaẓīm,"And who are more unjust than those who prevent the name of Allah from being mentioned in His mosques and strive toward their destruction. It is not for them to enter them except in fear. For them in this world is disgrace, and they will have in the Hereafter a great punishment"
2,115,وَلِلَّهِ المَشرِقُ وَالمَغرِبُ ۚ فَأَينَما تُوَلّوا فَثَمَّ وَجهُ اللَّهِ ۚ إِنَّ اللَّهَ واسِعٌ عَليمٌ,w-l-llāhil-mashriq w-l-maghrib f-ʾaynamā tuwallū f-thamm wajh llāh ʾinn llāh wāsiʿ ʿalīm,"And to Allah belongs the east and the west. So wherever you might turn, there is the Face of Allah. Indeed, Allah is all-Encompassing and Knowing"
2,116,وَقالُوا اتَّخَذَ اللَّهُ وَلَدًا ۗ سُبحانَهُ ۖ بَل لَهُ ما فِي السَّماواتِ وَالأَرضِ ۖ كُلٌّ لَهُ قانِتونَ,w-qālū ttakhadh llāh walad subḥānahū bal lahū mā fī s-samāwāt w-l-ʾarḍ kull lahū qānitūn,"They say, ""Allah has taken a son."" Exalted is He! Rather, to Him belongs whatever is in the heavens and the earth. All are devoutly obedient to Him"
2,117,بَديعُ السَّماواتِ وَالأَرضِ ۖ وَإِذا قَضىٰ أَمرًا فَإِنَّما يَقولُ لَهُ كُن فَيَكونُ,badīʿ s-samāwāt w-l-ʾarḍ w-ʾidhā qaḍā ʾamr f-ʾinnamā yaqūl lahū k f-yakūn,"Originator of the heavens and the earth. When He decrees a matter, He only says to it, ""Be,"" and it is"
2,118,وَقالَ الَّذينَ لا يَعلَمونَ لَولا يُكَلِّمُنَا اللَّهُ أَو تَأتينا آيَةٌ ۗ كَذٰلِكَ قالَ الَّذينَ مِن قَبلِهِم مِثلَ قَولِهِم ۘ تَشابَهَت قُلوبُهُم ۗ قَد بَيَّنَّا الآياتِ لِقَومٍ يوقِنونَ,w-qālalladhīn lā yaʿlamūn law-lā yukallimunā llāh ʾaw taʾtīnā ʾāyat k-dhālik qālalladhīn m qablihim mithl qawlihim tashābahat qulūbuhum qad bayyannāl-ʾāyāt l-qawm yūqinūn,"Those who do not know say, ""Why does Allah not speak to us or there come to us a sign?"" Thus spoke those before them like their words. Their hearts resemble each other. We have shown clearly the signs to a people who are certain in faith"
2,119,إِنّا أَرسَلناكَ بِالحَقِّ بَشيرًا وَنَذيرًا ۖ وَلا تُسأَلُ عَن أَصحابِ الجَحيمِ,ʾinnā ʾarsalnāk b-l-ḥaqq bashīr w-nadhīr w-lā tusʾal ʿ ʾaṣḥābil-jaḥīm,"Indeed, We have sent you, O Muhammad, with the truth as a bringer of good tidings and a warner, and you will not be asked about the companions of Hellfire"
2,120,وَلَن تَرضىٰ عَنكَ اليَهودُ وَلَا النَّصارىٰ حَتّىٰ تَتَّبِعَ مِلَّتَهُم ۗ قُل إِنَّ هُدَى اللَّهِ هُوَ الهُدىٰ ۗ وَلَئِنِ اتَّبَعتَ أَهواءَهُم بَعدَ الَّذي جاءَكَ مِنَ العِلمِ ۙ ما لَكَ مِنَ اللَّهِ مِن وَلِيٍّ وَلا نَصيرٍ,w-l tarḍā ʿankal-yahūd w-lā n-naṣārā ḥattā tattabiʿ millatahum qul ʾinn hudā llāh huwal-hudā w-l-ʾin ttabaʿt ʾahwāʾahum baʿdalladhī jāʾak minal-ʿilm mā lak min llāh m waliyy w-lā naṣīr,"And never will the Jews or the Christians approve of you until you follow their religion. Say, ""Indeed, the guidance of Allah is the only guidance."" If you were to follow their desires after what has come to you of knowledge, you would have against Allah no protector or helper"
2,121,الَّذينَ آتَيناهُمُ الكِتابَ يَعرِفونَهُ كَما يَعرِفونَ أَبناءَهُم ۖ وَإِنَّ فَريقًا مِنهُم لَيَكتُمونَ الحَقَّ وَهُم يَعلَمونَ,alladhīn ʾātaynāhumul-kitāb yaʿrifūnahū k-mā yaʿrifūn ʾabnāʾahum w-ʾinn farīqam-minhum l-yaktumūnal-ḥaqq w-hum yaʿlamūn,"Those to whom We gave the Scripture know him as they know their own sons. But indeed, a party of them conceal the truth while they know it"
2,122,يا بَني إِسرائيلَ اذكُروا نِعمَتِيَ الَّتي أَنعَمتُ عَلَيكُم وَأَنّي فَضَّلتُكُم عَلَى العالَمينَ,yā-banī ʾisrāʾīl dhkurū niʿmatiy llatī ʾanʿamt ʿalaykum w-ʾannī faḍḍaltukum ʿalāl-ʿālamīn,"O Children of Israel, remember My favor which I have bestowed upon you and that I preferred you over the worlds"
2,123,وَاتَّقوا يَومًا لا تَجزي نَفسٌ عَن نَفسٍ شَيئًا وَلا يُقبَلُ مِنها عَدلٌ وَلا تَنفَعُها شَفاعَةٌ وَلا هُم يُنصَرونَ,w-ttaqū yawm lā tajzī nafs ʿ nafs shayʾ w-lā yuqbal minhā ʿadl w-lā tanfaʿuhā shafāʿat w-lā hum yunṣarūn,"And fear a Day when no soul will suffice for another soul at all, and no compensation will be accepted from it, nor will any intercession benefit it, nor will they be aided"
2,124,۞ وَإِذِ ابتَلىٰ إِبراهيمَ رَبُّهُ بِكَلِماتٍ فَأَتَمَّهُنَّ ۖ قالَ إِنّي جاعِلُكَ لِلنّاسِ إِمامًا ۖ قالَ وَمِن ذُرِّيَّتي ۖ قالَ لا يَنالُ عَهدِي الظّالِمينَ,w-ʾidh btalā ʾibrāhīm rabbuhū b-kalimāt f-ʾatammahunn qāl ʾinnī jāʿiluk l-n-nās ʾimām qāl w-m dhurriyyatī qāl lā yanāl ʿahdī ẓ-ẓālimīn,"And mention, O Muhammad, when Abraham was tried by his Lord with commands and he fulfilled them. Allah said, ""Indeed, I will make you a leader for the people."" Abraham said, ""And of my descendants?"" Allah said, ""My covenant does not include the wrongdoers"
